table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,DK,DK0,1,_Z,POP,_Z,PS,2012,V,5591
T1001,DK,DK0,1,_Z,POP,_Z,PS,2013,T,5613.26
T1001,DK,DK0,1,_Z,POP,_Z,PS,2013,V,5613
T1001,DK,DK0,1,_Z,POP,_Z,PS,2014,T,5643.35
T1001,DK,DK0,1,_Z,POP,_Z,PS,2014,V,5643
T1001,DK,DK0,1,_Z,POP,_Z,PS,2015,T,5682.45
T1001,DK,DK0,1,_Z,POP,_Z,PS,2015,V,5682
T1001,DK,DK0,1,_Z,POP,_Z,PS,2016,T,5728.75
T1001,DK,DK0,1,_Z,POP,_Z,PS,2016,V,5729
T1001,DK,DK0,1,_Z,POP,_Z,PS,2017,T,5765.1
T1001,DK,DK0,1,_Z,POP,_Z,PS,2017,V,5765
T1001,DK,DK0,1,_Z,POP,_Z,PS,2018,T,5793.87
T1001,DK,DK0,1,_Z,POP,_Z,PS,2018,V,5794
T1001,DK,DK0,1,_Z,POP,_Z,PS,2019,T,5816.94
T1001,DK,DK0,1,_Z,POP,_Z,PS,2019,V,5817
T1001,DK,DK0,1,_Z,POP,_Z,PS,2020,T,5829.7
T1001,DK,DK0,1,_Z,POP,_Z,PS,2020,V,
T1001,DK,DK0,1,_Z,POP,_Z,PS,2021,T,5854.42
T1001,DK,DK0,1,_Z,POP,_Z,PS,2021,V,
T1001,DK,DK01,2,_Z,B1G,_T,PC,2000,T,6.28
T1001,DK,DK01,2,_Z,B1G,_T,PC,2000,V,6.28
T1001,DK,DK01,2,_Z,B1G,_T,PC,2001,T,1.77
T1001,DK,DK01,2,_Z,B1G,_T,PC,2001,V,1.77
T1001,DK,DK01,2,_Z,B1G,_T,PC,2002,T,-1.73
T1001,DK,DK01,2,_Z,B1G,_T,PC,2002,V,-1.73
T1001,DK,DK01,2,_Z,B1G,_T,PC,2003,T,1
T1001,DK,DK01,2,_Z,B1G,_T,PC,2003,V,1
T1001,DK,DK01,2,_Z,B1G,_T,PC,2004,T,2.88
T1001,DK,DK01,2,_Z,B1G,_T,PC,2004,V,2.88
T1001,DK,DK01,2,_Z,B1G,_T,PC,2005,T,4.24
T1001,DK,DK01,2,_Z,B1G,_T,PC,2005,V,4.24
T1001,DK,DK01,2,_Z,B1G,_T,PC,2006,T,1.89
T1001,DK,DK01,2,_Z,B1G,_T,PC,2006,V,1.89
T1001,DK,DK01,2,_Z,B1G,_T,PC,2007,T,0.95
T1001,DK,DK01,2,_Z,B1G,_T,PC,2007,V,0.95
T1001,DK,DK01,2,_Z,B1G,_T,PC,2008,T,1.94
T1001,DK,DK01,2,_Z,B1G,_T,PC,2008,V,1.94
T1001,DK,DK01,2,_Z,B1G,_T,PC,2009,T,-3.47
T1001,DK,DK01,2,_Z,B1G,_T,PC,2009,V,-3.47
T1001,DK,DK01,2,_Z,B1G,_T,PC,2010,T,3.94
T1001,DK,DK01,2,_Z,B1G,_T,PC,2010,V,3.94
T1001,DK,DK01,2,_Z,B1G,_T,PC,2011,T,1.52
T1001,DK,DK01,2,_Z,B1G,_T,PC,2011,V,1.52
T1001,DK,DK01,2,_Z,B1G,_T,PC,2012,T,2.07
T1001,DK,DK01,2,_Z,B1G,_T,PC,2012,V,2.07
T1001,DK,DK01,2,_Z,B1G,_T,PC,2013,T,2.28
T1001,DK,DK01,2,_Z,B1G,_T,PC,2013,V,2.28
T1001,DK,DK01,2,_Z,B1G,_T,PC,2014,T,2.27
T1001,DK,DK01,2,_Z,B1G,_T,PC,2014,V,2.27
T1001,DK,DK01,2,_Z,B1G,_T,PC,2015,T,3.95
T1001,DK,DK01,2,_Z,B1G,_T,PC,2015,V,3.95
T1001,DK,DK01,2,_Z,B1G,_T,PC,2016,T,3.72
T1001,DK,DK01,2,_Z,B1G,_T,PC,2016,V,3.72
